value,ttl,trip_class,show_to_affiliates,return_date,origin,number_of_changes,gate,found_at,distance,destination,depart_date,created_at,airline,actual
45258,1617609231,0,False,2021-07-20,NYC,1,TrustFares,2021-04-03T07:53:51,0,CAI,2021-06-20,1617436431,AZ,True
47301,1617465299,0,False,2021-07-14,NYC,1,Kiwi.com,2021-04-01T15:54:59,0,TIA,2021-06-14,1617292499,BF,True
37124,1617718161,0,False,2021-05-15,NYC,1,MyHolidays,2021-04-04T14:09:21,0,SCL,2021-04-15,1617545361,AA,True
51020,1617726436,0,False,2021-06-05,NYC,1,MyHolidays,2021-04-04T16:27:16,0,BEY,2021-05-06,1617553636,UA,True
66554,1617607744,0,False,2021-05-31,NYC,2,OneTwoTrip,2021-04-03T07:29:04,0,SIN,2021-05-01,1617434944,AA,True
48768,1617585820,0,False,2021-05-15,NYC,2,Thefaremasters.com,2021-04-03T01:23:40,0,DEL,2021-04-15,1617413020,UA,True
50485,1617314350,0,False,2021-05-20,NYC,2,MyHolidays,2021-03-30T21:59:10,0,PRN,2021-04-20,1617141550,UA,True
52567,1617255450,0,False,2021-06-12,NYC,2,TrustFares,2021-03-30T05:37:30,0,LFW,2021-05-13,1617082650,SN,True
50329,1617220882,0,False,2021-07-15,NYC,2,Kissandfly.com,2021-03-29T20:01:22,0,SKP,2021-06-15,1617048082,TP,True
38859,1617728629,0,False,2021-05-10,NYC,1,MyHolidays,2021-04-04T17:03:49,0,BRU,2021-04-10,1617555829,LO,True
34412,1617494726,0,False,2021-05-31,NYC,1,Kiwi.com,2021-04-02T00:05:26,0,LON,2021-05-01,1617321926,UA,True
94185,1617467953,0,False,2021-07-17,NYC,2,MyHolidays,2021-04-01T16:39:13,0,BOB,2021-06-17,1617295153,UA,True
52990,1617575621,0,False,2021-05-14,NYC,3,FlyFar,2021-04-02T22:33:41,0,CUE,2021-04-14,1617402821,CM,True
56808,1617386232,0,False,2021-05-23,NYC,1,MyHolidays,2021-03-31T17:57:12,0,LOS,2021-04-23,1617213432,ET,True
41660,1617751701,0,False,2021-05-14,NYC,1,Kiwi.com,2021-04-04T23:28:21,0,RAK,2021-04-14,1617578901,AZ,True
26970,1617379762,0,False,2021-07-24,NYC,1,MyHolidays,2021-03-31T16:09:22,0,RKS,2021-06-24,1617206962,UA,True
71132,1617769047,0,False,2021-07-01,NYC,1,Vayama,2021-04-05T04:17:27,0,FRU,2021-06-01,1617596247,TK,True
